Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,51,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,51,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,51,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,756,2020,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,780,2021,1 and 2
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,54,2020,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,54,2021,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,24,2020,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,27,2021,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Maori tourism,Counts,3,2020,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Maori tourism,Counts,3,2021,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,21,2020,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,24,2021,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,63,2020,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,66,2021,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,All other industries,Maori tourism,Counts,24,2020,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,All other industries,Maori tourism,Counts,24,2021,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Maori tourism,Counts,192,2020,1 and 3
Table 3,Counts of businesses - Other Maori enterprises and Maori tourism,By industry division,Total,Maori tourism,Counts,198,2021,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,1850,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Other Maori enterprises,Counts,1700,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,15,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Mining,Other Maori enterprises,Counts,25,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,990,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Manufacturing,Other Maori enterprises,Counts,990,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,55,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Other Maori enterprises,Counts,60,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,1650,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Construction,Other Maori enterprises,Counts,1650,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,650,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Wholesale trade,Other Maori enterprises,Counts,690,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,230,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Retail trade,Other Maori enterprises,Counts,250,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,400,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Other Maori enterprises,Counts,350,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,290,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Other Maori enterprises,Counts,210,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,120,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Information media and telecommunications,Other Maori enterprises,Counts,120,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,30,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Financial and insurance services,Other Maori enterprises,Counts,30,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,120,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Other Maori enterprises,Counts,140,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,630,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Other Maori enterprises,Counts,700,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,830,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Other Maori enterprises,Counts,930,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,90,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Public administration and safety,Other Maori enterprises,Counts,110,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,270,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Education and training,Other Maori enterprises,Counts,250,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,730,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Health care and social assistance,Other Maori enterprises,Counts,910,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,630,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Other Maori enterprises,Counts,400,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,180,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Other services,Other Maori enterprises,Counts,190,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,9800,2020,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Total,Other Maori enterprises,Counts,9700,2021,1 and 2
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,980,2020,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Accommodation and food services,Maori tourism,Counts,780,2021,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,180,2020,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori tourism,Counts,160,2021,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Maori tourism,Counts,0,2020,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Maori tourism,Counts,0,2021,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,180,2020,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Administrative and support services,Maori tourism,Counts,50,2021,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,930,2020,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Arts and recreational services,Maori tourism,Counts,670,2021,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,All other industries,Maori tourism,Counts,85,2020,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,All other industries,Maori tourism,Counts,80,2021,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Total,Maori tourism,Counts,2350,2020,1 and 3
Table 4,Count of employees - Other Maori enterprises and Maori tourism,By industry division,Total,Maori tourism,Counts,1750,2021,1 and 3
Table 5,Counts of businesses,By business type and size,0 to 19,Maori authorities,Counts,1131,2020,1 and 2 and 3
Table 5,Counts of businesses,By business type and size,0 to 19,Maori authorities,Counts,1134,2021,1 and 2 and 3
Table 5,Counts of businesses,By business type and size,20 to 49,Maori authorities,Counts,39,2020,1 and 2 and 3
Table 5,Counts of businesses,By business type and size,20 to 49,Maori authorities,Counts,48,2021,1 and 2 and 3
Table 5,Counts of businesses,By business type and size,50 to 99,Maori authorities,Counts,21,2020,1 and 2 and 3
Table 5,Counts of businesses,By business type and size,50 to 99,Maori authorities,Counts,24,2021,1 and 2 and 3
Table 5,Counts of businesses,By business type and size,100+,Maori authorities,Counts,24,2020,1 and 2 and 3
Table 5,Counts of businesses,By business type and size,100+,Maori authorities,Counts,21,2021,1 and 2 and 3
Table 5,Counts of businesses,By business type and size,Total,Maori authorities,Counts,1215,2020,1 and 2 and 3
Table 5,Counts of businesses,By business type and size,Total,Maori authorities,Counts,1227,2021,1 and 2 and 3
Table 5,Counts of businesses,By business type and size,0 to 19,Other Maori enterprises,Counts,609,2020,1 and 2 and 4
Table 5,Counts of businesses,By business type and size,0 to 19,Other Maori enterprises,Counts,633,2021,1 and 2 and 4
Table 5,Counts of businesses,By business type and size,20 to 49,Other Maori enterprises,Counts,78,2020,1 and 2 and 4
Table 5,Counts of businesses,By business type and size,20 to 49,Other Maori enterprises,Counts,90,2021,1 and 2 and 4
Table 5,Counts of businesses,By business type and size,50 to 99,Other Maori enterprises,Counts,57,2020,1 and 2 and 4
Table 5,Counts of businesses,By business type and size,50 to 99,Other Maori enterprises,Counts,51,2021,1 and 2 and 4
Table 5,Counts of businesses,By business type and size,100+,Other Maori enterprises,Counts,6,2020,1 and 2 and 4
Table 5,Counts of businesses,By business type and size,100+,Other Maori enterprises,Counts,9,2021,1 and 2 and 4
Table 5,Counts of businesses,By business type and size,Total,Other Maori enterprises,Counts,756,2020,1 and 2 and 4
Table 5,Counts of businesses,By business type and size,Total,Other Maori enterprises,Counts,780,2021,1 and 2 and 4
Table 5,Counts of businesses,By business type and size,0 to 19,Maori tourism,Counts,156,2020,1 and 2 and 5
Table 5,Counts of businesses,By business type and size,0 to 19,Maori tourism,Counts,174,2021,1 and 2 and 5
Table 5,Counts of businesses,By business type and size,20 to 49,Maori tourism,Counts,21,2020,1 and 2 and 5
Table 5,Counts of businesses,By business type and size,20 to 49,Maori tourism,Counts,15,2021,1 and 2 and 5
Table 5,Counts of businesses,By business type and size,50 to 99,Maori tourism,Counts,9,2020,1 and 2 and 5
Table 5,Counts of businesses,By business type and size,50 to 99,Maori tourism,Counts,9,2021,1 and 2 and 5
Table 5,Counts of businesses,By business type and size,100+,Maori tourism,Counts,6,2020,1 and 2 and 5
Table 5,Counts of businesses,By business type and size,100+,Maori tourism,Counts,0,2021,1 and 2 and 5
Table 5,Counts of businesses,By business type and size,Total,Maori tourism,Counts,192,2020,1 and 2 and 5
Table 5,Counts of businesses,By business type and size,Total,Maori tourism,Counts,198,2021,1 and 2 and 5
Table 6,Count of employees,By business type and size,0 to 19,Maori authorities,Counts,2000,2020,1 and 2 and 3
Table 6,Count of employees,By business type and size,0 to 19,Maori authorities,Counts,2050,2021,1 and 2 and 3
Table 6,Count of employees,By business type and size,20 to 49,Maori authorities,Counts,1250,2020,1 and 2 and 3
Table 6,Count of employees,By business type and size,20 to 49,Maori authorities,Counts,1500,2021,1 and 2 and 3
Table 6,Count of employees,By business type and size,50 to 99,Maori authorities,Counts,1400,2020,1 and 2 and 3
Table 6,Count of employees,By business type and size,50 to 99,Maori authorities,Counts,1750,2021,1 and 2 and 3
Table 6,Count of employees,By business type and size,100+,Maori authorities,Counts,6600,2020,1 and 2 and 3
Table 6,Count of employees,By business type and size,100+,Maori authorities,Counts,5900,2021,1 and 2 and 3
Table 6,Count of employees,By business type and size,Total,Maori authorities,Counts,11200,2020,1 and 2 and 3
Table 6,Count of employees,By business type and size,Total,Maori authorities,Counts,11100,2021,1 and 2 and 3
Table 6,Count of employees,By business type and size,0 to 19,Other Maori enterprises,Counts,2400,2020,1 and 2 and 4
Table 6,Count of employees,By business type and size,0 to 19,Other Maori enterprises,Counts,2550,2021,1 and 2 and 4
Table 6,Count of employees,By business type and size,20 to 49,Other Maori enterprises,Counts,2500,2020,1 and 2 and 4
Table 6,Count of employees,By business type and size,20 to 49,Other Maori enterprises,Counts,2750,2021,1 and 2 and 4
Table 6,Count of employees,By business type and size,50 to 99,Other Maori enterprises,Counts,3850,2020,1 and 2 and 4
Table 6,Count of employees,By business type and size,50 to 99,Other Maori enterprises,Counts,3500,2021,1 and 2 and 4
Table 6,Count of employees,By business type and size,100+,Other Maori enterprises,Counts,980,2020,1 and 2 and 4
Table 6,Count of employees,By business type and size,100+,Other Maori enterprises,Counts,890,2021,1 and 2 and 4
Table 6,Count of employees,By business type and size,Total,Other Maori enterprises,Counts,9800,2020,1 and 2 and 4
Table 6,Count of employees,By business type and size,Total,Other Maori enterprises,Counts,9700,2021,1 and 2 and 4
Table 6,Count of employees,By business type and size,0 to 19,Maori tourism,Counts,560,2020,1 and 2 and 5
Table 6,Count of employees,By business type and size,0 to 19,Maori tourism,Counts,660,2021,1 and 2 and 5
Table 6,Count of employees,By business type and size,20 to 49,Maori tourism,Counts,570,2020,1 and 2 and 5
Table 6,Count of employees,By business type and size,20 to 49,Maori tourism,Counts,390,2021,1 and 2 and 5
Table 6,Count of employees,By business type and size,50 to 99,Maori tourism,Counts,550,2020,1 and 2 and 5
Table 6,Count of employees,By business type and size,50 to 99,Maori tourism,Counts,460,2021,1 and 2 and 5
Table 6,Count of employees,By business type and size,100+,Maori tourism,Counts,660,2020,1 and 2 and 5
Table 6,Count of employees,By business type and size,100+,Maori tourism,Counts,240,2021,1 and 2 and 5
Table 6,Count of employees,By business type and size,Total,Maori tourism,Counts,2350,2020,1 and 2 and 5
Table 6,Count of employees,By business type and size,Total,Maori tourism,Counts,1750,2021,1 and 2 and 5
Table 7,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3326526,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3953417,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,2851722,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,3147888,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,237359,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,218995,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,64839,2020,1 and 2 and 3 and 4 and 5
Table 7,Financials - Maori authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,67719,2021,1 and 2 and 3 and 4 and 5
Table 7,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,172606,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,518814,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2921308,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2909270,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,133377,2020,1 and 2 and 3 and 4 and 6
Table 7,Financials - Maori authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,113816,2021,1 and 2 and 3 and 4 and 6
Table 7,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,24385,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,26909,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,158536,2020,1 and 2 and 3 and 4 and 6
Table 7,Financials - Maori authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,190574,2021,1 and 2 and 3 and 4 and 6
Table 7,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,518975,2020,1 and 2 and 3 and 4 and 7
Table 7,Financials - Maori authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,533268,2021,1 and 2 and 3 and 4 and 7
Table 7,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1981197,2020,1 and 2 and 3 and 4 and 6
Table 7,Financials - Maori authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1948259,2021,1 and 2 and 3 and 4 and 6
Table 7,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,104838,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,96444,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,516466,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,534835,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,533661,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,543630,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,422413,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,1052942,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,354645,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,630571,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,20866338,2020,1 and 2 and 3 and 4 and 6
Table 7,Financials - Maori authorities,Total all industries,Total assets,Financial position,Thousand Dollars,21487617,2021,1 and 2 and 3 and 4 and 6
Table 7,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3261592,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3335420,2021,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,8662925,2020,1 and 2 and 3 and 4
Table 7,Financials - Maori authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,9112342,2021,1 and 2 and 3 and 4
